insured_address_state,Industry Code,Category,input_gl_revenue,input_gl_employee,input_gl_gl_limit,input_gl_gl_deductible,input_property_bldg_limit,input_property_num_claims,input_property_town_grade,input_property_content_limit,input_property_bldg_deductible,input_property_cont_deductible,input_property_construction_class,output_premium_crime_prem,output_premium_eq_premium,output_premium_ebi_premium,output_premium_bldg_premium,output_premium_flood_premium,output_premium_content_premium,output_premium_on_prem_gl_prem,output_premium_products_gl_prem,output_premium_business_interuption_prem,output_premium_total_total_prem,output_debug_sd_factor_bi,output_debug_sd_factor_gl,output_debug_sd_factor_prop
Ontario,5811,Hospitality,200000,2,2000000,5000,0,0,4,25000,1000,1000,4,90,0.63,79,0,0,79.79,1288,0,159.57,1696.98,1,1,1
Ontario,5811,Hospitality,200000,1,2000000,1000,0,0,6,25000,1000,1000,4,25,0.58,79,0,3.03,99.73,1288,0,199.47,1694.81,1,1,1
Ontario,5811,Hospitality,200000,1,1000000,1000,0,0,3,25000,1000,1000,4,25,0.64,79,0,0,79.79,1120,0,159.57,1463.99,1,1,1
Ontario,8017,Health Serv.,100000,6,2000000,1000,0,0,3,500000,1000,1000,4,200,21.04,326,0,25.63,563.04,266.8,0,28.15,1430.66,1,1,1
Ontario,5814,Hospitality,250000,2,5000000,1000,0,0,3,250000,1000,1000,2,86.4,7.73,210,0,36.3,264.96,737.1,0,87.46,1429.95,0.975,0.975,0.96
Ontario,5811,Hospitality,200000,1,1000000,1000,0,0,3,25000,1000,1000,2,25,0.64,79,0,0,66.49,1120,0,132.98,1424.1,1,1,1
Ontario,5811,Hospitality,100000,2,1000000,1000,0,0,3,250000,1000,1000,2,90,4.28,210,0,0,455.4,560,0,45.54,1365.22,1,1,1
Ontario,6412,B&P Services,200000,2,2000000,1000,0,0,4,500000,1000,1000,4,56.304,,305,0,0,731.952,90,151.8,0,1335.056,1,1,1
Ontario,7220,B&P Services,300000,2,2000000,1000,0,0,4,250000,1000,1000,4,129.168,,210,0,58.09385832,546.48,90,300.15,0,1275.798,1,1,1
Ontario,7220,B&P Services,300000,2,2000000,1000,0,0,4,250000,1000,1000,4,129.168,,210,0,58.09385832,546.48,90,300.15,0,1275.798,1,1,1
Ontario,5814,Hospitality,250000,2,5000000,1000,0,0,3,150000,1000,1000,2,86.4,4.64,173,0,21.78,178.05,737.1,0,97.95,1298.92,0.975,0.975,0.96
Ontario,5814,Hospitality,250000,2,5000000,1000,0,0,3,150000,1000,1000,2,86.4,4.64,173,0,21.78,178.05,737.1,0,97.95,1298.92,0.975,0.975,0.96
Ontario,5994,Retail,200000,2,2000000,1000,0,0,3,25000,1000,1000,5,90,0.62,79,0,5.96,151.11,644,0,302.22,1272.91,1,1,1
Ontario,5422,Retail,200000,2,2000000,1000,0,0,3,25000,1000,1000,5,90,1.1,79,0,5.13,151.11,533.6,0,392.89,1252.82,1,1,1
Ontario,6411,B&P Services,100000,2,2000000,1000,0,0,4,25000,1000,1000,2,412.79,0.82,79,0,0,240.27,332.3,0,184.82,1250,1,1,1
Ontario,5694,Retail,100000,2,2000000,1000,0,0,3,25000,1000,1000,4,148.39,1.1,79,0,0,131.55,758.42,0,131.55,1250,1,1,1
Ontario,6022,B&P Services,100000,6,2000000,1000,0,0,3,25000,1000,1000,5,325.04,0.69,79,0,0,319.26,162.6,44.15,319.26,1250,1,1,1
Ontario,6021,B&P Services,100000,6,2000000,1000,0,0,3,25000,1000,1000,5,324.47,0.67,79,0,2.08,318.7,162.31,44.08,318.7,1250,1,1,1
Ontario,6022,B&P Services,60000,6,2000000,1000,0,0,3,25000,1000,1000,4,620.66,1.33,79,0,0,195.08,186.29,50.59,117.05,1250,1,1,1
Ontario,7293,B&P Services,500000,2,2000000,1000,0,0,3,50000,1000,1000,2,94.32,1.37,84,0,0,109.8,522.02,195.76,242.73,1250,1.02375,0.952448372,0.890568
Ontario,5994,Retail,60000,6,2000000,1000,0,1,3,25000,1000,1000,4,386.16,1.22,79,0,0,140.05,559.55,0,84.03,1250,1,1,1
Ontario,5814,Hospitality,200000,2,2000000,1000,0,0,3,25000,1000,1000,2,143.88,1.02,79,0,0,64.42,794.2,0,167.49,1250,1,1,1
Ontario,5996,Retail,112111,2,2000000,1000,0,0,3,25000,1000,1000,5,121.34,1.17,79,0,0,264.85,486.71,0,296.93,1250,1,1,1
Ontario,5814,Hospitality,100000,6,2000000,1000,0,0,3,25000,1000,1000,4,418.02,1.34,79,0,0,101.07,519.18,0,131.39,1250,1,1,1
Ontario,5814,Hospitality,200000,2,2000000,1000,0,0,3,25000,1000,1000,2,143.88,1.02,79,0,0,64.42,794.2,0,167.49,1250,1,1,1
Ontario,5694,Retail,100000,6,2000000,1000,0,0,3,25000,1000,1000,4,285.44,0.93,79,0,0.37,113.87,656.52,0,113.87,1250,1,1,1
Ontario,6411,B&P Services,100000,1,2000000,1000,0,0,4,25000,1000,1000,4,140.02,2.28,79,0,0,352.08,405.79,0,270.83,1250,1,1,1
Ontario,5422,Retail,232232,6,2000000,1000,0,0,3,25000,1000,1000,4,230.92,0.31,79,0,0,55.83,715.38,0,168.55,1250,1,1,1
Ontario,8016,Health Serv.,100000,6,2000000,1000,0,0,3,25000,1000,1000,4,408.87,0.59,79,0,26.37,128.51,507.81,0,98.85,1250,1,1,1
Ontario,6411,B&P Services,250000,6,1000000,1000,0,0,3,25000,1000,1000,4,432.17,1.44,79,0,0,135.84,340.34,0,261.22,1250,1,1,1
Ontario,5715,Retail,45421,2,1000000,1000,0,0,3,25000,1000,1000,4,376.5,1.65,79,0,0,262.97,410.43,0,119.45,1250,1,1,1
Ontario,6411,B&P Services,123232,6,2000000,1000,0,0,4,25000,1000,1000,4,564.13,2.19,79,0,7.46,177.31,251.83,0,168.08,1250,1,1,1
Ontario,5814,Hospitality,150000,2,2000000,1000,0,0,3,25000,1000,1000,4,171,7.18,79,0,0,91.87,718.99,0,181.95,1250,0.975,0.975,0.96
Ontario,5715,Retail,145321,2,1000000,1000,0,0,3,25000,1000,1000,5,118.75,0.55,79,0,1.69,259.19,414.16,0,376.66,1250,1,1,1
Ontario,6021,B&P Services,100000,6,2000000,1000,0,0,3,100000,1000,1000,4,384.99,6.27,100,0,0,411.08,192.59,52.3,102.77,1250,1,1,1
Ontario,5433,Retail,100000,1,1000000,1000,0,0,4,100000,1000,1000,4,66.39,3.35,100,0,15.78,337.05,31.09,696.35,0,1250,1,1,1
Ontario,6411,B&P Services,100000,1,1000000,1000,0,0,4,100000,1000,1000,4,129.45,5.41,100,0,64.63,673.14,78.8,198.58,0,1250,1,1,1
Ontario,5811,Hospitality,25000,2,2000000,1000,0,0,3,25000,1000,1000,2,272.41,2.43,79,0,0,201.25,630.83,0,64.08,1250,1.018875,1.03558455,0.8
Ontario,5932,Retail,1000000,6,2000000,1000,0,0,4,100000,1000,5000,2,170.52,3.53,80,0,68.86,144.15,2805.26,0,397.52,3669.83,0.9405,0.8712,0.8526
Ontario,5694,Retail,300000,2,3000000,1000,0,0,3,50000,1000,1000,4,80.03,0.58,84,0,0,141.89,1444.26,0,245.04,1995.8,1.02375,0.962836875,0.8892
Ontario,5992,Retail,100000,2,1000000,1000,0,0,4,250000,1000,1000,4,114.33,3.4,210,0,0,546.96,336.27,0,39.04,1250,0.975,1.287667631,1.05072
Ontario,7296,B&P Services,200000,2,1000000,1000,0,0,4,25000,1000,1000,4,200.28,1.4,79,0,0,139.89,393.54,111.95,323.93,1250,0.92625,0.81306225,0.8
Ontario,5811,Hospitality,250000,2,2000000,1000,0,0,3,25000,1000,1000,2,72,0.64,79,0,0,53.19,1446.82,0,161.66,1813.32,0.9725625,0.89864775,0.8
Ontario,5422,Retail,200000,1,1000000,1000,0,0,3,25000,1000,1000,4,41.68,2.1,79,0,0,80.61,804.05,0,242.56,1250,0.975,0.875723063,0.8424486
Ontario,7296,B&P Services,200000,2,2000000,1000,0,0,4,25000,1000,1000,2,201.43,1.41,79,0,0,117.24,447.85,127.4,275.67,1250,0.9405,0.8,0.8
Ontario,7297,B&P Services,100000,2,2000000,1000,0,1,4,50000,1000,1000,4,170.79,2.39,84,0,0,357.88,357.32,67.77,209.84,1250,0.93814875,1.00372041,0.8
Ontario,8111,B&P Services,200000,2,1000000,1000,0,0,3,25000,1000,1000,4,277.41,2.62,79,0,0,193.76,394.45,0,302.76,1250,0.975,0.975,0.96
Ontario,5811,Hospitality,250000,2,2000000,1000,0,0,3,25000,1000,1000,4,86.4,0.64,79,0,0,76.59,1569.75,0,194.48,2006.87,0.975,0.975,0.96
Ontario,5996,Retail,200000,6,2000000,1000,0,0,5,50000,1000,1000,4,195.98,2.7,84,0,16,154,640.92,0,156.4,1250,0.975,0.975,0.96
Ontario,5811,Hospitality,109000,2,1000000,1000,0,0,3,25000,1000,1000,4,119.94,0.89,79,0,0,106.32,826.14,0,117.7,1250,0.975,0.975,0.96
Ontario,5814,Hospitality,100000,2,2000000,1000,0,0,3,50000,1000,1000,4,205.61,17.27,84,0,0,220.94,576.34,0,145.85,1250,0.975,0.975,0.96
Ontario,5811,Hospitality,200000,2,2000000,1000,0,0,3,250000,1000,1000,4,86.4,6.43,210,0,0,524.62,1255.8,0,106.56,2189.81,0.975,0.975,0.96
Ontario,8918,B&P Services,50000,1,2000000,1000,0,0,3,25000,1000,1000,2,187.5,5.17,79,0,0,392.89,289.07,142.89,153.47,1250,0.975,0.975,0.96
Ontario,8916,B&P Services,1000000,2,2000000,1000,0,0,2,25000,1000,1000,2,86.4,0.19,79,0,0,50.29,908.21,0,392.89,1516.98,0.975,0.975,0.96
Ontario,5813,Hospitality,250000,2,2000000,1000,0,0,3,25000,1000,1000,2,86.4,0.64,79,0,0,50.29,1121.25,0,127.69,1465.26,0.975,0.975,0.96
Ontario,5811,Hospitality,250000,1,1000000,1000,0,0,3,25000,1000,1000,4,24,1.66,79,0,0,76.59,1365,0,194.48,1740.73,0.975,0.975,0.96
Ontario,5814,Hospitality,550000,11,2000000,1000,0,0,3,25000,1000,1000,2,312,0.33,79,0,2.56,38.68,1332.05,0,280.91,2045.54,0.975,0.975,0.96
Ontario,5814,Hospitality,100000,2,2000000,1000,0,0,3,25000,1000,1000,4,231.55,1.72,79,0,0,124.41,649.06,0,164.26,1250,0.975,0.975,0.96
Ontario,7296,B&P Services,500000,2,3000000,1000,0,0,3,25000,1000,1000,4,88.98,2.99,79,0,0,62.15,545.97,155.32,315.59,1250,0.975,0.975,0.96
Ontario,5814,Hospitality,200000,1,1000000,1000,0,0,3,25000,1000,1000,2,47.9,1.27,79,0,0,77.21,840.72,0,203.89,1250,0.975,0.975,0.96
Ontario,5813,Hospitality,100000,2,2000000,1000,0,0,3,25000,1000,1000,2,158.85,1.17,79,0,0,92.46,824.61,0,93.91,1250,0.975,0.975,0.96
Ontario,5813,Hospitality,100000,2,2000000,1000,0,0,3,25000,1000,1000,2,158.85,1.17,79,0,0,92.46,824.61,0,93.91,1250,0.975,0.975,0.96
Ontario,5992,Retail,50000,16,2000000,1000,0,0,3,25000,1000,1000,2,811.59,0.53,79,0,0,94.48,227.5,0,36.91,1250,0.975,0.975,0.96
Ontario,5814,Hospitality,150000,6,2000000,1000,0,0,3,25000,1000,1000,4,323.75,1.37,79,0,0,78.28,612.58,0,155.02,1250,0.975,0.975,0.96
Ontario,5814,Hospitality,100000,6,2000000,1000,0,0,3,25000,1000,1000,4,414.4,1.39,79,0,0,100.19,522.73,0,132.29,1250,0.975,0.975,0.96
Ontario,5814,Hospitality,100000,6,2000000,1000,0,0,3,25000,1000,1000,4,414.27,1.76,79,0,0,100.16,522.57,0,132.24,1250,0.975,0.975,0.96
Ontario,5814,Hospitality,100000,2,2000000,1000,0,0,3,25000,1000,1000,4,231.55,1.72,79,0,0,124.41,649.06,0,164.26,1250,0.975,0.975,0.96
Ontario,5814,Hospitality,200000,2,1000000,1000,0,0,3,25000,1000,1000,2,155.88,1.15,79,0,0,69.79,759.9,0,184.29,1250,0.975,0.975,0.96
Ontario,5814,Hospitality,200000,2,1000000,1000,0,0,3,25000,1000,1000,2,155.88,1.15,79,0,0,69.79,759.9,0,184.29,1250,0.975,0.975,0.96
Ontario,5811,Hospitality,150000,2,1000000,1000,0,0,3,25000,1000,1000,4,91.95,1.77,79,0,0,81.51,871.59,0,124.18,1250,0.975,0.975,0.96
Ontario,5811,Hospitality,350000,6,2000000,1000,0,0,3,25000,1000,1000,6,192,0.15,79,0,0,239.36,2197.65,0,850.84,3559,0.975,0.975,0.96
Ontario,5811,Hospitality,250000,6,1000000,1000,0,0,3,25000,1000,1000,4,192,1.66,79,0,0,76.59,1365,0,194.48,1908.73,0.975,0.975,0.96
Ontario,5814,Hospitality,200000,2,1000000,1000,0,0,3,25000,1000,1000,2,155.88,1.15,79,0,0,69.79,759.9,0,184.29,1250,0.975,0.975,0.96
Ontario,5814,Hospitality,200000,1,1000000,1000,0,0,3,25000,1000,1000,2,47.9,1.27,79,0,0,77.21,840.72,0,203.89,1250,0.975,0.975,0.96
Ontario,8022,Health Serv.,100000,6,1000000,1000,0,0,3,500200,1000,1000,5,160,12.91,326.05,0,25.64,1830.61,185.6,0,81.49,2622.3,0.92625,0.8,0.8
Ontario,7405,B&P Services,100000,6,1000000,1000,0,0,3,25000,1000,1000,2,671.21,2.25,79,0,0,135.24,224.96,0,137.35,1250,0.975,0.975,0.96
Ontario,8022,Health Serv.,100000,6,1000000,1000,0,0,3,500000,1000,1000,6,160,12.91,326,0,25.63,1829.88,185.6,0,81.49,2621.51,0.92625,0.8,0.8
Ontario,7405,B&P Services,100000,6,2000000,1000,0,0,3,500000,1000,1000,2,235.86,15.79,326,0,0,553.34,90.91,0,28.1,1250,0.975,0.975,0.96
Ontario,7392,B&P Services,100000,2,1000000,1000,0,0,4,25000,1000,1000,4,299.48,2.25,79,0,0,160.9,354.85,190.1,163.42,1250,0.975,0.975,0.96
Ontario,8022,Health Serv.,100000,6,2000000,1000,0,0,3,500000,1000,1000,5,160,12.91,326,0,0,1829.88,213.44,0,85.56,2627.79,0.9725625,0.8,0.8
Ontario,7312,B&P Services,100000,6,1000000,1000,0,0,3,500000,1000,1000,4,172.15,13.83,326,0,0,630.01,69.72,0,38.3,1250,0.9725625,0.8,0.8
Ontario,8022,Health Serv.,100000,6,1000000,1000,0,0,3,500000,1000,1000,4,160,12.91,326,0,0,585.56,185.6,0,27.38,1297.45,0.9725625,0.8,0.8
Ontario,7392,B&P Services,100000,6,1000000,1000,0,0,4,500000,1000,1000,4,190.54,15.48,326,0,0,536.41,100.03,53.59,27.95,1250,0.833625,0.8,0.8
Ontario,7312,B&P Services,100000,6,1000000,1000,0,0,3,500000,1000,1000,4,172.15,13.83,326,0,0,630.01,69.72,0,38.3,1250,0.9725625,0.8,0.8
Ontario,8024,Health Serv.,100000,6,1000000,1000,0,0,4,500000,1000,1000,4,163.39,11.39,326,0,25.63,597.97,134.4,0,28.15,1286.93,1,0.8,0.8169525
Ontario,7296,B&P Services,100000,2,2000000,1000,0,0,3,25000,1000,1000,5,170.28,2.07,79,0,2.53,371.68,192.26,54.69,377.49,1250,0.975,0.975,0.96
Ontario,8024,Health Serv.,100000,6,1000000,1000,0,0,4,500000,1000,1000,4,163.39,11.39,326,0,25.63,597.97,134.4,0,28.15,1286.93,1,0.8,0.8169525
Ontario,5811,Hospitality,100000,6,2000000,5000,0,0,3,400000,1000,1000,4,192,10.42,273,0,0,755.45,627.9,0,47.95,1906.73,0.975,0.975,0.96
Ontario,5811,Hospitality,232334,2,1000000,1000,0,0,3,25000,1000,1000,5,86.4,0.67,79,0,3.17,239.36,1268.54,0,564.8,2241.95,0.975,0.975,0.96
Ontario,5422,Retail,100000,2,2000000,5000,0,0,3,400000,1000,1000,4,96.25,11.84,273,0,26.99,510.05,289.79,0,42.09,1250,0.975,0.975,0.96
Ontario,5811,Hospitality,100000,6,2000000,1000,0,0,3,500000,1000,1000,4,192,13.03,326,0,0,891.86,627.9,0,45.29,2096.07,0.975,0.975,0.96
Ontario,5422,Retail,100000,2,2000000,1000,0,0,3,500000,1000,1000,5,86.4,13.45,326,0,63.45,1689.12,260.13,0,111.51,2550.06,0.975,0.975,0.96
Ontario,5814,Hospitality,300000,2,2000000,1000,0,0,3,125000,1000,1000,2,87.95,3.23,136.5,0,0,157.77,739.56,0,124.99,1250,0.975,0.975,0.96
Ontario,5814,Hospitality,550000,6,2000000,1000,0,0,3,25000,1000,1000,5,192,0.43,79,0,5.13,145.07,1332.05,0,1053.43,2807.09,0.975,0.975,0.96
Ontario,8025,Health Serv.,100000,6,2000000,5000,0,0,3,500000,1000,1000,4,165.37,5.84,326,0,4.71,605.21,259.76,0,27.38,1394.28,0.9725625,0.806715,0.826848
Ontario,8026,Health Serv.,100000,6,2000000,5000,0,0,3,500000,1000,1000,5,202.49,12.85,326,0,0,2315.86,221.65,0,88.19,3167.04,1.0024875,1.095084375,1.0124625
Ontario,8017,Health Serv.,100000,6,2000000,5000,0,0,3,500000,1000,1000,2,181.06,23.81,326,0,29,424.76,241.53,0,23.83,1250,0.89775,0.8,0.8
Ontario,8017,Health Serv.,100000,6,2000000,5000,0,0,3,500000,1000,1000,4,165.03,21.7,326,0,26.44,464.6,220.16,0,26.07,1250,0.89775,0.8,0.8
Ontario,8017,Health Serv.,100000,6,2000000,5000,0,0,3,500000,1000,1000,4,165.03,21.7,326,0,26.44,464.6,220.16,0,26.07,1250,0.89775,0.8,0.8
Ontario,5814,Hospitality,200000,2,2000000,1000,0,0,3,25000,1000,1000,2,143.88,1.02,79,0,0,64.42,794.2,0,167.49,1250,1,1,1
Ontario,8291,B&P Services,100000,6,2000000,5000,0,0,3,500000,1000,1000,2,200,8.65,326,0,63.45,774.18,93.15,0,23.46,1488.89,1,1,1
Ontario,8017,Health Serv.,100000,6,2000000,5000,0,0,3,50000,1000,1000,5,246.92,3.25,84,0,3.96,373.12,329.39,0,209.36,1250,0.89775,0.8,0.8
Ontario,5814,Hospitality,100000,11,2000000,1000,0,0,3,25000,1000,1000,4,555.66,0.5,79,0,0,82.67,424.69,0,107.48,1250,1,1,1
Ontario,5814,Hospitality,50000,6,2000000,1000,0,0,3,25000,1000,1000,2,591.05,1.27,79,0,15.15,119.09,367.04,0,77.41,1250,1,1,1
Ontario,5932,Retail,300000,16,2000000,1000,0,0,3,300000,1000,1000,2,450,5.13,231,0,0,413.34,966,0,103.33,2168.8,1,1,1
Ontario,5813,Hospitality,100000,2,2000000,1000,0,0,3,25000,1000,1000,3,155.82,1.1,79,0,0,108.83,796.41,0,108.83,1250,1,1,1
Ontario,8024,Health Serv.,100000,2,1000000,1000,0,0,9,25000,1000,1000,5,134.88,1.13,79,0,1.92,441.6,251.77,0,339.69,1250,1,1,1
Ontario,5813,Hospitality,100000,2,2000000,1000,0,0,3,25000,1000,1000,2,160.8,1.13,79,0,0,93.6,821.87,0,93.6,1250,1,1,1
Ontario,5813,Hospitality,100000,2,2000000,1000,0,0,3,25000,1000,1000,2,160.8,1.13,79,0,0,93.6,821.87,0,93.6,1250,1,1,1
Ontario,5813,Hospitality,100000,2,2000000,1000,0,0,3,25000,1000,1000,2,160.8,1.13,79,0,0,93.6,821.87,0,93.6,1250,1,1,1
Ontario,5814,Hospitality,100000,6,2000000,1000,0,0,4,25000,1000,1000,4,418.28,0.63,79,0,0,101.13,519.5,0,131.47,1250,1,1,1
Ontario,5814,Hospitality,100000,2,2000000,1000,0,0,3,25000,1000,1000,4,233.98,2.12,79,0,0,125.71,645.77,0,163.42,1250,1,1,1
Ontario,5814,Hospitality,100000,6,2000000,1000,0,0,3,25000,1000,1000,6,292.2,0.63,79,0,7.49,220.77,362.91,0,287,1250,1,1,1
Ontario,5811,Hospitality,100000,2,1000000,1000,0,1,3,25000,1000,1000,4,90,0.43,79,0,5.13,119.68,840,0,119.68,1253.91,1,1,1
Ontario,5811,Hospitality,200000,2,1000000,1000,0,0,3,25000,1000,1000,2,90,0.31,79,0,5.13,66.49,1120,0,132.98,1493.9,1,1,1
Ontario,8029,Health Serv.,111111,2,2000000,1000,0,0,3,250000,1000,1000,2,140.44,6.44,210,0,63.65,430.69,350.93,0,47.85,1250,1,1,1
Ontario,5422,Retail,100000,1,1000000,1000,0,0,3,25000,1000,1000,4,78.18,3.43,79,0,16.03,151.22,725.54,0,196.59,1250,1,1,1
Ontario,6021,B&P Services,500000,6,2000000,1000,0,0,3,25000,1000,1000,5,200,0.43,79,0,5.13,196.44,500.25,135.84,982.21,2099.31,1,1,1
Ontario,5811,Hospitality,200000,1,1000000,1000,0,0,4,25000,1000,1000,3,25,0.62,79,0,0,79.79,1120,0,159.57,1463.98,1,1,1
Ontario,5811,Hospitality,200000,1,2000000,1000,0,0,3,25000,1000,1000,2,25,0.64,79,0,0,66.49,1288,0,132.98,1592.1,1,1,1
Ontario,5814,Hospitality,10000,6,2000000,2500,0,0,3,25000,1000,1000,4,835.54,3.41,79,0,0,202.01,103.77,0,26.26,1250,1,1,1
Ontario,5694,Retail,10000,6,2000000,1000,0,0,5,25000,1000,1000,5,397.54,0.57,79,0,0,619.5,91.44,0,61.95,1250,1,1,1
Ontario,5814,Hospitality,50000,16,2000000,1000,0,0,3,25000,1000,1000,4,798.97,0.76,79,0,9.1,85.85,220.51,0,55.8,1250,1,1,1
Ontario,6415,B&P Services,10000,2,2000000,1000,0,0,3,25000,1000,1000,4,623.73,5.91,79,0,21.99,435.65,50.21,0,33.51,1250,1,1,1
Ontario,5814,Hospitality,1000000,11,2000000,1000,0,0,3,25000,1000,1000,4,325,0.43,79,0,5.13,48.36,2484,0,628.62,3570.53,1,1,1
Ontario,6411,B&P Services,1111111,2,2000000,1000,0,0,3,25000,1000,1000,4,90,0.64,79,0,0,62.86,805,0,537.28,1574.78,1,1,1
Ontario,5813,Hospitality,200000,2,2000000,1000,0,0,3,25000,1000,1000,4,90,0.64,79,0,0,62.86,920,0,125.72,1278.22,1,1,1
Ontario,5814,Hospitality,100000,6,2000000,1000,0,0,3,25000,1000,1000,4,414.39,0.89,79,0,10.62,100.19,514.67,0,130.25,1250,1,1,1
Ontario,5811,Hospitality,200000,2,2000000,1000,0,0,3,25000,1000,1000,4,90,0.64,79,0,0,79.79,1288,0,159.57,1696.99,1,1,1
Ontario,5811,Hospitality,200000,2,2000000,1000,0,0,3,25000,1000,1000,2,90,0.64,79,0,0,66.49,1288,0,132.98,1657.1,1,1,1
Ontario,5811,Hospitality,200000,1,1000000,1000,0,0,3,25000,1000,1000,2,25,0.64,79,0,0,66.49,1120,0,132.98,1424.1,1,1,1
Ontario,5811,Hospitality,200000,1,1000000,1000,0,0,3,25000,1000,1000,3,25,0.64,79,0,0,79.79,1120,0,159.57,1463.99,1,1,1
Ontario,5811,Hospitality,300000,1,2000000,1000,0,0,3,25000,1000,1000,2,25,0.64,79,0,0,66.49,1932,0,199.47,2302.59,1,1,1
Ontario,5811,Hospitality,200000,2,1000000,1000,0,0,3,25000,1000,1000,2,90,0.64,79,0,0,66.49,1120,0,132.98,1489.1,1,1,1
Ontario,5811,Hospitality,200000,1,2000000,1000,0,0,3,25000,1000,1000,4,25,0.53,79,0,3.44,79.79,1288,0,159.57,1635.33,1,1,1
Ontario,5811,Hospitality,100000,1,2000000,1000,0,0,3,20000,1000,1000,2,37.1,0.75,79,0,0,78.92,955.57,0,98.66,1250,1,1,1
Québec,5811,Hospitality,200000,1,2000000,1000,0,0,1,25000,1000,1000,4,25,1.52,79,0,0,79.79,1288,0,159.57,1632.88,1,1,1
Ontario,5811,Hospitality,100000,1,2000000,1000,0,0,3,25000,1000,1000,2,36.47,0.93,79,0,0,97.01,939.59,0,97.01,1250,1,1,1
Ontario,5813,Hospitality,100000,2,2000000,1000,0,0,3,25000,1000,1000,2,160.8,1.13,79,0,0,93.6,821.87,0,93.6,1250,1,1,1
Ontario,5814,Hospitality,100000,6,2000000,1000,0,0,3,25000,1000,1000,4,414.39,0.89,79,0,10.62,100.19,514.67,0,130.25,1250,1,1,1
Québec,5990,Retail,100000,2,2000000,1000,0,0,5,25000,1000,1000,4,203.84,6.93,79,0,0,177.97,604.28,0,177.97,1250,1,1,1
Ontario,5814,Hospitality,100000,6,2000000,1000,0,0,3,25000,1000,1000,4,414.39,0.89,79,0,10.62,100.19,514.67,0,130.25,1250,1,1,1
Ontario,7392,B&P Services,100000,6,2000000,1000,0,0,3,25000,1000,1000,4,485.39,0.85,79,0,0,117.36,293.06,156.99,117.36,1250,1,1,1
Ontario,5813,Hospitality,100000,2,2000000,1000,0,0,3,25000,1000,1000,2,160.8,1.13,79,0,0,93.6,821.87,0,93.6,1250,1,1,1
